service_id,date,exception_type
"MF10-14-668-aus","20250912","2"
"MF10-14-668-aus","20250919","2"
"MF10-14-668-aus","20250926","2"
"MF10-14-668-aus","20251003","2"
"MF10-14-668-aus","20251010","2"
"MF10-14-669-aus","20250725","2"
"MF10-14-669-aus","20250801","2"
"MF10-14-669-aus","20250808","2"
"MF10-14-669-aus","20250815","2"
"MF10-14-669-aus","20250822","2"
"MF10-14-669-aus","20250829","2"
"MF10-14-669-aus","20250905","2"
"MF10-14-669-aus","20250912","2"
"MF10-14-669-aus","20250919","2"
"MF10-14-669-aus","20250926","2"
"MF10-14-669-aus","20251003","2"
"MF10-14-669-aus","20251010","2"
"MF10-14-903-aus","20250725","2"
"MF10-14-903-aus","20250801","2"
"MF10-14-903-aus","20250808","2"
"MF10-14-903-aus","20250815","2"
"MF10-14-903-aus","20250822","2"
"MF10-14-903-aus","20250829","2"
"MF10-14-903-aus","20250905","2"
"MF10-14-903-aus","20250912","2"
"MF10-14-903-aus","20250919","2"
"MF10-14-903-aus","20250926","2"
"MF10-14-903-aus","20251003","2"
"MF10-14-903-aus","20251010","2"
"MF10-14-905-aus","20250725","2"
"MF10-14-905-aus","20250801","2"
"MF10-14-905-aus","20250808","2"
"MF10-14-905-aus","20250815","2"
"MF10-14-905-aus","20250822","2"
"MF10-14-905-aus","20250829","2"
"MF10-14-905-aus","20250905","2"
"MF10-14-905-aus","20250912","2"
"MF10-14-905-aus","20250919","2"
"MF10-14-905-aus","20250926","2"
"MF10-14-905-aus","20251003","2"
"MF10-14-905-aus","20251010","2"
"MF10-14-906-aus","20250725","2"
"MF10-14-906-aus","20250801","2"
"MF10-14-906-aus","20250808","2"
"MF10-14-906-aus","20250815","2"
"MF10-14-906-aus","20250822","2"
"MF10-14-906-aus","20250829","2"
"MF10-14-906-aus","20250905","2"
"MF10-14-906-aus","20250912","2"
"MF10-14-906-aus","20250919","2"
"MF10-14-906-aus","20250926","2"
"MF10-14-906-aus","20251003","2"
"MF10-14-906-aus","20251010","2"
"MF10-14-907-aus","20250725","2"
"MF10-14-907-aus","20250801","2"
"MF10-14-907-aus","20250808","2"
"MF10-14-907-aus","20250815","2"
"MF10-14-907-aus","20250822","2"
"MF10-14-907-aus","20250829","2"
"MF10-14-907-aus","20250905","2"
"MF10-14-907-aus","20250912","2"
"MF10-14-907-aus","20250919","2"
"MF10-14-907-aus","20250926","2"
"MF10-14-907-aus","20251003","2"
"MF10-14-907-aus","20251010","2"
"MF10-14-908-aus","20250725","2"
"MF10-14-908-aus","20250801","2"
"MF10-14-908-aus","20250808","2"
"MF10-14-908-aus","20250815","2"
"MF10-14-908-aus","20250822","2"
"MF10-14-908-aus","20250829","2"
"MF10-14-908-aus","20250905","2"
"MF10-14-908-aus","20250912","2"
"MF10-14-908-aus","20250919","2"
"MF10-14-908-aus","20250926","2"
"MF10-14-908-aus","20251003","2"
"MF10-14-908-aus","20251010","2"
"MF10-17-200-aus","20250725","2"
"MF10-17-200-aus","20250801","2"
"MF10-17-200-aus","20250808","2"
"MF10-17-200-aus","20250815","2"
"MF10-17-200-aus","20250822","2"
"MF10-17-200-aus","20250829","2"
"MF10-17-200-aus","20250905","2"
"MF10-17-200-aus","20250912","2"
"MF10-17-200-aus","20250919","2"
"MF10-17-200-aus","20250926","2"
"MF10-17-200-aus","20251003","2"
"MF10-17-200-aus","20251010","2"
"MF10-17-202-aus","20250725","2"
"MF10-17-202-aus","20250801","2"
"MF10-17-202-aus","20250808","2"
"MF10-17-202-aus","20250815","2"
"MF10-17-202-aus","20250822","2"
"MF10-17-202-aus","20250829","2"
"MF10-17-202-aus","20250905","2"
